,value,price
0,Mark Ingram,Mark Ingram II
1,Mitch Trubisky,Mitchell Trubisky
2,DaeSean Hamilton,DaeSean Hamilton
3,Darrell Henderson,Darrell Henderson Jr.
4,Albert Wilson,Albert Wilson
5,Jalen Richard,Jalen Richard
6,D.K. Metcalf,DK Metcalf
7,Danny Amendola,Danny Amendola
8,Marqise Lee,Marqise Lee
9,Taylor Gabriel,Taylor Gabriel
10,Zay Jones,Zay Jones
11,Jacoby Brissett,Jacoby Brissett
,Todd Gurley,Todd Gurley II
,Allen Robinson,Allen Robinson II
,Marvin Jones,Marvin Jones Jr.
,Duke Johnson,Duke Johnson Jr.
,Devante Parker,DeVante Parker
,Will Fuller,Will Fuller V
,Ted Ginn,Ted Ginn Jr.
,Paul Richardson,Paul Richardson Jr.
,Melvin Gordon,Melvin Gordon III
,D.J. Moore,DJ Moore
,D.J. Chark,DJ Chark Jr.
,Chris Herndon IV,Chris Herndon
